Source,Name,"Main Phone","Main Email",Website,"Website Valid","Email extension",Linkedin,Instagram,Facebook,X,Pinterest,TikTok,Youtube,Mission,"Veteran Owned Business Y/N","Is certified Veteran Owned Business Y/N","Is Veteran Service Organization Y/N","Is VA or GOV Organization Y/N","VA or GOV Type","VA or GOV Subtype","Service Area","Address Line one","Address Line Two",Latitude,Longitude,"Zip Code",Country,State,County,"Municipality - Place",Notes,Owner,"Owner Phone","Owner Email"
https://www.avob.org.au/certified-businesses,"3ME Technology","1300 483 043",info@3me.technology,https://3me.technology/,Y,3me.technology,,,,,,,,,,,,,,,,"36 Munibung Rd Cardiff NSW 2285 Australia",,-32.9431528,151.6469371,2285,Australia,"New South Wales","City of Lake Macquarie",Cardiff,,,,
https://www.avob.org.au/certified-businesses,"AC Fitouts",1300765782,info@acfitouts.com.au,https://acfitouts.com.au/,Y,acfitouts.com.au,https://www.linkedin.com/company/ac-fitouts-gold-coast/,https://www.instagram.com/acfitouts/,https://www.facebook.com/acfitouts/,https://twitter.com/acfitouts,,,https://www.youtube.com/channel/UCxR6BIRiCzEPX8EOrXpr3ow,,,,,,,,,"3/4 Fortitude Crescent
 Burleigh Heads
 QLD 4220",,-28.1076268,153.4269331,4220,Australia,Queensland,"City of Gold Coast","Burleigh Heads",,,,
https://www.avob.org.au/certified-businesses,"AEGIR Marine","61 412 406580  ",info@aegirmarine.com.au,http://www.aegirmarine.com.au,Y,aegirmarine.com.au,https://www.linkedin.com/company/4805595,,https://www.facebook.com/aegirmarineaustralia,https://twitter.com/AEGIR_M_Survey,,,,,,,,,,,,"PO Box 190. Cronulla NSW Australia 2230",,-34.0512081,151.1522679,2230,Australia,"New South Wales","Sutherland Shire Council",Cronulla,,,,
https://www.avob.org.au/certified-businesses,"AG Digital Consultants",,,https://agdigital.com.au/,Y,,https://www.linkedin.com/company/agdigitalconsultants/,,https://www.facebook.com/agdigitalconsultants,,,,,,,,,,,,,,,,,,Australia,,,,,,,
https://www.avob.org.au/certified-businesses,AKRYPT,,info@akryptstore.com,https://www.akryptstore.com/,Y,akryptstore.com,,https://www.instagram.com/akryptstore/?hl=en,https://www.facebook.com/p/AKRYPT-100086701953079/,,,,,,,,,,,,,,,,,,Australia,,,,,,,
https://www.avob.org.au/certified-businesses,"ANSIC Security",1300240829,,https://www.ansic.com.au/,Y,,https://www.linkedin.com/company/ansicsecurity/,https://www.instagram.com/ansicgroup,https://www.facebook.com/ansicsec/,,,,,,,,,,,,,"1/3 Harvton Street,
 Stafford QLD 4053",,-27.417591,153.0133394,4053,Australia,Queensland,"Brisbane City",Stafford,"Monday – Friday
8:30am – 5pm AEST",,,
https://www.avob.org.au/certified-businesses,"AW Mobile Detailing",403279859,andrew.awmobiledetailing@gmail.com,https://awmobiledetailing.com/,Y,gmail.com,,https://www.instagram.com/awmobile_detailing,https://www.facebook.com/103406606136147,,,,,,,,,,,,,,,,,,Australia,,,,,,,
https://www.avob.org.au/certified-businesses,"Aces Plus Finance",,,,,,,,,,,,,,,,,,,,,,,,,,Australia,,,,,,,
https://www.avob.org.au/certified-businesses,"Actus Associates","61 8 6317 9689",,http://www.actus.net.au/,Y,,https://www.linkedin.com/company/actus-associates-pty-ltd/,https://www.instagram.com/actusassociates/,https://www.facebook.com/actusassociates/,,,,,,,,,,,,,,,,,,Australia,,,,,,,
https://www.avob.org.au/certified-businesses,"Aerial Images Sunshine Coast","61 (0)400 449 875",aerial.images.sc@gmail.com,http://www.aerialimagessunshinecoast.com.au/,Y,gmail.com,,,,,,,https://www.youtube.com/channel/UCG7BqxWrwVlINtsdPlW9ahg,,,,,,,,,"Queensland Australia",,-22.575197,144.0847926,,Australia,Queensland,,,,,,
