Source,Name,"Main Phone","Main Email",Website,"Website Valid","Email extension",Linkedin,Instagram,Facebook,X,Pinterest,TikTok,Youtube,Mission,"Veteran Owned Business Y/N","Is certified Veteran Owned Business Y/N","Is Veteran Service Organization Y/N","Is VA or GOV Organization Y/N","VA or GOV Type","VA or GOV Subtype","Service Area","Address Line one","Address Line Two",Latitude,Longitude,"Zip Code",Country,State,County,"Municipality - Place",Notes,Owner,"Owner Phone","Owner Email"
https://www.combatvet.us/maps/chapters.php,"AL 28-1",,cvmacommander28.1@gmail.com,http://alabamacvma28-1.weebly.com,,gmail.com,,,,,,,,,,,,,,,,"Smith Station, Alabama",,32.540138,,,"United States",,,,,,,
https://www.combatvet.us/maps/chapters.php,"AL 28-2",,NALCVMA.CO@gmail.com,http://www.nalcvma.com/,,gmail.com,,,,,,,,,,,,,,,,"Huntsville, Alabama",,34.730370,,,"United States",,,,,,,
https://www.combatvet.us/maps/chapters.php,"AL 28-3",,markmosersixx@gmail.com,https://www.facebook.com/groups/313135512410071/about/,,gmail.com,,,,,,,,,,,,,,,,"Enterprise, Alabama",,31.315170,,,"United States",,,,,,,
https://www.combatvet.us/maps/chapters.php,"AL 28-4",,larryalan83@yahoo.com,http://alabamacvma284.weebly.com,,yahoo.com,,,,,,,,,,,,,,,,"Hamilton, Alabama",,34.142323,,,"United States",,,,,,,
https://www.combatvet.us/maps/chapters.php,"AL 28-5",,cvmacmdr28.5@gmail.com,http://cvmabham.weebly.com,,gmail.com,,,,,,,,,,,,,,,,"Birmingham, Alabama",,33.518589,,,"United States",,,,,,,
https://www.combatvet.us/maps/chapters.php,"AL 28-6",,eodsgt@hotmail.com,http://cvma28-6.org/,,hotmail.com,,,,,,,,,,,,,,,,"Glen Acres, Alabama",,30.708803,,,"United States",,,,,,,
https://www.combatvet.us/maps/chapters.php,"AL 28-7",,cvmamgmcom@gmail.com,,,gmail.com,,,,,,,,,,,,,,,,"Hope Hull, Alabama",,32.269520,,,"United States",,,,,,,
https://www.combatvet.us/maps/chapters.php,"AL 28-8",,cvmaco288@gmail.com,,,gmail.com,,,,,,,,,,,,,,,,"Summerdale, Alabama",,30.487696,,,"United States",,,,,,,
https://www.combatvet.us/maps/chapters.php,"AK 43-1",,michaeldf@hotmail.com,http://combat-vets-alaska-43-1.site123.me/,,hotmail.com,,,,,,,,,,,,,,,,"Anchorage, Alaska",,61.218056,,,"United States",,,,,,,
https://www.combatvet.us/maps/chapters.php,"AK 43-1A",,michaeldf@hotmail.com,http://combat-vets-alaska-43-1.site123.me/,,hotmail.com,,,,,,,,,,,,,,,,"Soldotna, Alaska",,60.487343,,,"United States",,,,,,,
https://www.combatvet.us/maps/chapters.php,"AK 43-2",,cliff.hiatt@gmail.com,https://www.facebook.com/vetshelpingvetsCVMA/,,gmail.com,,,,,,,,,,,,,,,,"North Pole, Alaska",,64.751114,,,"United States",,,,,,,
https://www.combatvet.us/maps/chapters.php,"AK 43-3",,jdoan2131@gmail.com,https://m.facebook.com/CVMA-Chapter-43-3-Valley-Crew-1604128349899661/,,gmail.com,,,,,,,,,,,,,,,,"Big Lake, Alaska",,61.511814,,,"United States",,,,,,,
